[2024-08-28T13:11:02.903+0000][info][gc,heap     ] GC(4) Archive regions: 2->2
[2024-08-28T13:11:02.903+0000][info][gc,heap     ] GC(4) Humongous regions: 6->6
[2024-08-28T13:11:02.903+0000][info][gc,metaspace] GC(4) Metaspace: 97K(320K)->97K(320K) NonClass: 93K(192K)->93K(192K) Class: 4K(128K)->4K(128K)
[2024-08-28T13:11:02.903+0000][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 242M->245M(1024M) 7.789ms
[2024-08-28T13:11:02.903+0000][info][gc,cpu      ] GC(4) User=0.13s Sys=0.04s Real=0.01s
[2024-08-28T13:11:02.914+0000][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2024-08-28T13:11:02.914+0000][info][gc,task     ] GC(5) Using 24 workers of 68 for evacuation
[2024-08-28T13:11:02.921+0000][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.1ms
[2024-08-28T13:11:02.921+0000][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.1ms
[2024-08-28T13:11:02.921+0000][info][gc,phases   ] GC(5)   Evacuate Collection Set: 6.2ms
[2024-08-28T13:11:02.921+0000][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.3ms
[2024-08-28T13:11:02.921+0000][info][gc,phases   ] GC(5)   Other: 0.1ms
[2024-08-28T13:11:02.921+0000][info][gc,heap     ] GC(5) Eden regions: 44->0(62)
[2024-08-28T13:11:02.921+0000][info][gc,heap     ] GC(5) Survivor regions: 7->7(7)
[2024-08-28T13:11:02.921+0000][info][gc,heap     ] GC(5) Old regions: 232->279
[2024-08-28T13:11:02.921+0000][info][gc,heap     ] GC(5) Archive regions: 2->2
[2024-08-28T13:11:02.921+0000][info][gc,heap     ] GC(5) Humongous regions: 6->6
[2024-08-28T13:11:02.921+0000][info][gc,metaspace] GC(5) Metaspace: 97K(320K)->97K(320K) NonClass: 93K(192K)->93K(192K) Class: 4K(128K)->4K(128K)
